XP,YP,ZP,PID
762914.62268066,9252131.97253418,3710,268
762914.70251465,9252121.17840576,3710,269
762914.75402832,9252012.98260498,3750.006,270
762914.92724609,9252228.78466797,3730,271
762915.03869629,9252134.22906494,3710,272
762915.06298828,9252054.71337891,3710,273
762915.20751953,9252118.68780518,3710,274
762915.61853027,9252136.63739014,3710,275
762915.77514648,9252249,3730,276
762915.78344727,9252219.57867432,3710,277
762915.93811035,9252115.95800781,3710,278
762916.08276367,9252261.01983643,3750.006,279
762916.24206543,9252047.46691895,3720,280
762916.25683594,9252022.20349121,3730,281
762916.26257324,9252198.5255127,3710,282
762916.2857666,9252197.51434326,3710,283
762916.43579102,9252195.80871582,3710,284
762916.76171875,9252193.26861572,3710,285
762916.90808105,9252127.65930176,3700,286
762916.91564941,9252125.73999023,3700,287
762917.02539063,9252129.57885742,3700,288
762917.05493164,9252123.75250244,3700,289
762917.12060547,9252014.55700684,3740,290
762917.25170898,9252227.45172119,3720,291
762917.25219727,9252189.84777832,3710,292
762917.27197266,9252131.56414795,3700,293
762917.28430176,9252142.32794189,3710,294
762917.34570313,9252121.62658691,3700,295
762917.54309082,9252257.56719971,3740,296
762917.66064453,9252133.67211914,3700,297
762917.66699219,9252039.40197754,3730,298
762917.67102051,9252201.40936279,3710,299
762917.81713867,9252119.30102539,3700,300
762917.83288574,9252185.57104492,3710,301
762918.08813477,9252072.14422607,3710,302
762918.10119629,9252072.73565674,3710,303
762918.10205078,9252071.94036865,3710,304
762918.15344238,9252071.62469482,3710,305
762918.20837402,9252135.94702148,3700,306
762918.31835938,9252108.76342773,3710,307
762918.37487793,9252070.74316406,3710,308
762918.39489746,9252180.4944458,3710,309
762918.42041016,9252153.01049805,3710,310
762918.46972656,9252076.30206299,3710,311
762918.50646973,9252116.72589111,3700,312
762918.56555176,9252048.80200195,3710,313
762918.82519531,9252174.67572021,3710,314
762918.91088867,9252160.93676758,3710,315
762918.94677734,9252068.99786377,3710,316
762918.95629883,9252197.93530273,3700,317
762918.96130371,9252084.19177246,3710,318
762918.96252441,9252197.66253662,3700,319
762919.02416992,9252168.15258789,3710,320
762919.03479004,9252098.78668213,3710,321
762919.10021973,9252196.09674072,3700,322
762919.16333008,9252091.53106689,3710,323
762919.41699219,9252193.6293335,3700,324
762919.50732422,9252236.86175537,3730,325
762919.51013184,9252015.76947021,3730,326
762919.5760498,9252226.11877441,3710,327
762919.84765625,9252205.89343262,3710,328
762919.86853027,9252256.23602295,3730,329
762919.90600586,9252190.21820068,3700,330
762919.92333984,9252141.8057251,3700,331
762920.01013184,9252066.25518799,3710,332
762920.02160645,9252040.68127441,3720,333
762920.08007813,9252200.23632813,3700,334
762920.47546387,9252007.96875,3740,335
762920.49243164,9252185.89880371,3700,336
762920.61279297,9252269.91833496,3750.006,337
762920.76843262,9252117.79522705,3700,338
762920.77526855,9252072.20739746,3700,339
762920.77758789,9252072.5680542,3700,340
762920.88818359,9252000.32073975,3750.006,341
762920.95056152,9252071.4876709,3700,342
762920.96716309,9252109.28820801,3700,343
762921.06347656,9252180.74072266,3700,344
762921.09118652,9252152.78594971,3700,345
762921.140625,9252076.08093262,3700,346
762921.14355469,9252032.84008789,3730,347
762921.4708252,9252069.89996338,3700,348
762921.50158691,9252174.81542969,3700,349
762921.55334473,9252264.49084473,3740,350
762921.58911133,9252160.83294678,3700,351
762921.63183594,9252062.48352051,3710,352
762921.63842773,9252084.07159424,3700,353
762921.70422363,9252168.17242432,3700,354
762921.71264648,9252098.90643311,3700,355
762921.84069824,9252235.54455566,3720,356
762921.84338379,9252091.51794434,3700,357
762922.18774414,9252126.53765869,3700,358
762922.27282715,9252204.75335693,3700,359
762922.3762207,9252041.96057129,3710,360
762922.49084473,9252067.26904297,3700,361
762922.51135254,9252211.74737549,3710,362
