XP,YP,ZP,PID
4890,10013.15429688,2051.18615723,4213
4890,10020.58105469,2053.69638062,4214
4890,10030.04882813,2057.06285095,4215
4890,10080,2074.08937073,4216
4890,10130,2090.83200073,4217
4890,10170,2103.15629578,4218
4890,10180,2105.63516235,4219
4890,10220,2114.11172485,4220
4890,10240,2118.52174377,4221
4890,10250,2120.34082031,4222
4890,10260,2121.68000793,4223
4890,10280,2123.76756287,4224
4890,10290,2126.7989502,4225
4890,10300,2131.31959534,4226
4890,10310,2135.29237366,4227
4890,10320,2137.05697632,4228
4890,10330,2136.48072815,4229
4890,10340,2134.88542175,4230
4890,10350,2134.66226196,4231
4890,10360,2137.92100525,4232
4890,10370,2144.59519958,4233
4890,10380,2151.88844299,4234
4890,10390,2156.14686584,4235
4890,10400,2155.85717773,4236
4890,10410,2152.43203735,4237
4890,10420,2147.83876038,4238
4890,10430,2142.33171082,4239
4890,10440,2134.67042542,4240
4890,10450,2124.14552307,4241
4890,10460,2112.78070068,4242
4890,10470,2104.88114929,4243
4890,10480,2103.05322266,4244
4890,10490,2105.50508118,4245
4890,10500,2108.14004517,4246
4890,10510,2108.24563599,4247
4890,10520,2105.8110199,4248
4890,10530,2102.60636902,4249
4890,10540,2100.75463867,4250
4890,10550,2101.56892395,4251
4890,10560,2104.95378113,4252
4890,10580,2114.55445862,4253
4890,10590,2118.18887329,4254
4890,10600,2120.18655396,4255
4890,10610,2121.0958252,4256
4890,10620,2122.04492188,4257
4890,10630,2123.89970398,4258
4890,10640,2126.69778442,4259
4890,10650,2129.77975464,4260
4890,10660,2132.48712158,4261
4890,10670,2134.646698,4262
4890,10680,2136.55870056,4263
4890,10690,2138.66860962,4264
4890,10710,2144.46725464,4265
4890,10720,2148.29179382,4266
4890,10740,2156.7118988,4267
4890,10750,2161.41610718,4268
4890,10770,2171.27412415,4269
4890,10780,2175.11132813,4270
4890,10790,2177.90368652,4271
4890,10800,2179.71841431,4272
4890,10820,2180.86747742,4273
4890,10830,2180.60220337,4274
4890,10840,2179.69720459,4275
4890,10850,2177.96159363,4276
4890,10920,2154.71284485,4277
4890,10930,2153.50602722,4278
4890,10940,2154.37738037,4279
4890,10950,2156.98060608,4280
4890,10960,2160.05265808,4281
4890,10970,2162.18171692,4282
4890,10980,2162.77459717,4283
