PID1,PID2,PID3,TRIANGLE,SURFACE,PIT,TOPO
84,3199,3145,610,1,1,1
84,3200,3199,611,1,1,1
84,3146,3200,612,1,1,1
84,3145,3146,613,1,1,1
3200,3147,3201,614,1,1,1
3200,3146,3147,615,1,1,1
3148,3201,3147,616,1,1,1
3148,3202,3201,617,1,1,1
49,3202,3148,618,1,1,1
49,85,3202,619,1,1,1
85,3149,3203,620,1,1,1
85,49,3149,621,1,1,1
86,3203,3149,622,1,1,1
86,3204,3203,623,1,1,1
86,3150,3204,624,1,1,1
86,3149,3150,625,1,1,1
87,3204,3150,626,1,1,1
87,3205,3204,627,1,1,1
3151,3205,87,628,1,1,1
3151,3264,3205,629,1,1,1
3151,3206,3264,630,1,1,1
3206,3152,128,631,1,1,1
3152,3207,128,632,1,1,1
3152,3153,3207,633,1,1,1
3153,3208,3207,634,1,1,1
3154,3096,88,635,1,1,1
88,3096,51,636,1,1,1
51,3209,88,637,1,1,1
3209,52,3210,638,1,1,1
3209,51,52,639,1,1,1
89,3210,52,640,1,1,1
89,3211,3210,641,1,1,1
89,3155,3211,642,1,1,1
89,52,3155,643,1,1,1
90,3211,3155,644,1,1,1
90,3212,3211,645,1,1,1
90,3156,3212,646,1,1,1
90,3155,3156,647,1,1,1
91,3212,3156,648,1,1,1
91,3213,3212,649,1,1,1
91,3157,3213,650,1,1,1
91,3156,3157,651,1,1,1
92,3213,3157,652,1,1,1
92,3214,3213,653,1,1,1
92,93,3214,654,1,1,1
92,3157,93,655,1,1,1
3276,93,3158,656,1,1,1
3276,3158,3159,657,1,1,1
133,3276,3159,658,1,1,1
133,3159,3160,659,1,1,1
3277,133,3160,660,1,1,1
3277,3160,28,661,1,1,1
56,3277,28,662,1,1,1
56,134,3277,663,1,1,1
3161,134,56,664,1,1,1
3161,94,134,665,1,1,1
94,3162,3215,666,1,1,1
94,3161,3162,667,1,1,1
3162,3216,3215,668,1,1,1
3162,3163,3216,669,1,1,1
3217,3216,3163,670,1,1,1
3217,3163,3164,671,1,1,1
95,3217,3164,672,1,1,1
95,3218,3217,673,1,1,1
95,3165,3218,674,1,1,1
95,3164,3165,675,1,1,1
96,3218,3165,676,1,1,1
96,3219,3218,677,1,1,1
96,3166,3219,678,1,1,1
96,3165,3166,679,1,1,1
3166,3220,3219,680,1,1,1
3166,3167,3220,681,1,1,1
3221,3220,3167,682,1,1,1
62,3284,3221,683,1,1,1
62,138,3284,684,1,1,1
62,97,138,685,1,1,1
3112,3286,98,686,1,1,1
3286,3112,139,687,1,1,1
139,63,99,688,1,1,1
99,63,3168,689,1,1,1
3222,99,3168,690,1,1,1
3222,3168,3056,691,1,1,1
3222,3056,3169,692,1,1,1
100,3169,3170,693,1,1,1
100,65,101,694,1,1,1
100,3170,65,695,1,1,1
101,66,102,696,1,1,1
101,65,66,697,1,1,1
102,3171,3223,698,1,1,1
102,66,3171,699,1,1,1
103,3223,3171,700,1,1,1
103,3224,3223,701,1,1,1
103,3172,3224,702,1,1,1
103,3171,3172,703,1,1,1
104,3224,3172,704,1,1,1
104,3225,3224,705,1,1,1
104,3173,3225,706,1,1,1
104,3172,3173,707,1,1,1
3174,3225,3173,708,1,1,1
3174,3226,3225,709,1,1,1
144,3226,3174,710,1,1,1
